time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-19T12:45:03.580Z,40.7351667,-112.0371667,8.85,3.09,ml,16,53,0.008266,0.15,uu,uu60020349,2020-03-23T02:46:18.983Z,"5km NNW of West Valley City, Utah",earthquake,0.32,0.53,0.126,3,reviewed,uu,uu
2020-03-19T12:44:47.750Z,40.745,-112.0388333,9.32,3.22,ml,69,38,0.01817,0.19,uu,uu60366502,2020-03-23T03:17:14.403Z,"6km NNW of West Valley City, Utah",earthquake,0.22,0.54,0.214,19,reviewed,uu,uu
2020-03-19T12:33:15.740Z,40.7426667,-112.0653333,8.84,2.25,ml,51,46,0.02734,0.18,uu,uu60366497,2020-03-21T16:22:10.362Z,"4km NE of Magna, Utah",earthquake,0.24,0.63,0.169,12,reviewed,uu,uu
2020-03-19T11:50:18.310Z,40.7443333,-112.0373333,7.32,1.49,ml,25,50,0.0174,0.21,uu,uu60366462,2020-03-19T17:17:07.700Z,"6km NNW of West Valley City, Utah",earthquake,0.33,0.78,0.105,2,reviewed,uu,uu
2020-03-19T11:10:01.290Z,40.7348333,-112.0948333,9.63,1.27,md,25,60,0.04549,0.18,uu,uu60366422,2020-03-19T18:48:17.860Z,"2km NNE of Magna, Utah",earthquake,0.35,0.74,0.282,15,reviewed,uu,uu
2020-03-19T10:55:54.120Z,40.7345,-112.0703333,8.3,1.58,ml,28,52,0.02725,0.21,uu,uu60366412,2020-03-19T18:18:57.760Z,"3km NE of Magna, Utah",earthquake,0.34,0.82,0.256,3,reviewed,uu,uu
2020-03-19T09:31:42.810Z,40.7433333,-112.0291667,9.12,1.62,ml,35,41,0.01714,0.21,uu,uu60366322,2020-03-20T02:46:22.816Z,"6km NNW of West Valley City, Utah",earthquake,0.28,0.73,0.212,3,reviewed,uu,uu
2020-03-19T09:23:02.890Z,40.7326667,-112.0276667,7.34,1.55,ml,31,47,0.00846,0.26,uu,uu60366312,2020-03-20T02:46:49.458Z,"5km NNW of West Valley City, Utah",earthquake,0.43,0.97,0.113,3,reviewed,uu,uu
2020-03-19T09:12:29.570Z,40.7391667,-112.0326667,8.67,2.28,ml,58,36,0.01245,0.2,uu,uu60366297,2020-03-19T22:54:33.040Z,"5km NNW of West Valley City, Utah",earthquake,0.25,0.62,0.093,11,reviewed,uu,uu
2020-03-19T09:12:08.230Z,40.7296667,-112.0721667,9.66,1.32,ml,17,56,0.05875,0.14,uu,uu60366292,2020-03-19T13:56:42.930Z,"3km NE of Magna, Utah",earthquake,0.36,1.03,0.364,3,reviewed,uu,uu
2020-03-19T07:40:46.110Z,40.7493333,-112.0426667,7.98,1.73,ml,39,45,0.02295,0.21,uu,uu60366197,2020-03-19T21:07:44.196Z,"6km NE of Magna, Utah",earthquake,0.25,0.63,0.122,9,reviewed,uu,uu
